question,answer,reference,description
办理首次申领居民身份证时，是否需要缴纳费用？,首次申领居民身份证免费。,中华人民共和国临时居民身份证管理办法,该办法规定了居民身份证的收费标准。
办理首次申领居民身份证时，是否可以同时申领临时居民身份证？,可以同时申领临时居民身份证，临时居民身份证的办理时间为当场领取。,关于开通首次申领居民身份证申领临时居民身份证“跨省通办”“全省通办”服务的通知（粤公网发〔2023〕654号）,该通知明确了同时申领的相关要求。
办理首次申领居民身份证时，如果户籍地不在本地，如何办理？,可以通过跨省通办或全省通办服务，在非户籍地办理首次申领居民身份证。,关于开通首次申领居民身份证申领临时居民身份证“跨省通办”“全省通办”服务的通知（粤公网发〔2023〕654号）,该通知明确了跨省通办和全省通办的服务范围。
首次申领居民身份证的办理进度如何查询？,可以通过短信通知查询办理进度，证件制作完成后系统会自动发送领取短信。,关于开通首次申领居民身份证申领临时居民身份证“跨省通办”“全省通办”服务的通知（粤公网发〔2023〕654号）,该通知规定了办理进度查询和领取方式。
办理首次申领居民身份证需要多长时间？,首次申领居民身份证的审核签发时间为3个工作日，证件制作完成后即可领取。,关于开通首次申领居民身份证申领临时居民身份证“跨省通办”“全省通办”服务的通知（粤公网发〔2023〕654号）,该通知明确了办理时间和审核要求。
临时居民身份证的有效期是多长时间？,临时居民身份证的有效期为3个月。,中华人民共和国临时居民身份证管理办法,该办法规定了临时居民身份证的有效期和使用范围。
办理首次申领居民身份证时，如果姓名中有生僻字怎么办？,办理时应严格按照户口簿上的姓名如实填写，对于生僻字，应使用规范汉字或符合国家标准的编码方式。,关于在办理户口居民身份证业务工作中进一步严格规范冷僻字使用的通知,该通知明确了生僻字的使用规范。
办理首次申领居民身份证时，是否需要提供照片？,需要提供符合标准的居民身份证照片，照片要求为近期正面免冠彩色头像。,中华人民共和国临时居民身份证管理办法,该办法规定了居民身份证照片的要求。
办理首次申领居民身份证时，是否可以委托他人代办？,可以委托他人代办，但需提供代办人的身份证件和委托书。,关于开通首次申领居民身份证申领临时居民身份证“跨省通办”“全省通办”服务的通知（粤公网发〔2023〕654号）,该通知明确了代办的相关要求。
办理首次申领居民身份证时，如果户口簿丢失怎么办？,如果户口簿丢失，需先到户籍地公安机关补办户口簿，再携带补办的户口簿办理身份证。,中华人民共和国临时居民身份证管理办法,该办法规定了办理身份证所需的基本材料。
办理首次申领居民身份证时，是否需要缴纳费用？,首次申领居民身份证免费。,中华人民共和国临时居民身份证管理办法,该办法规定了居民身份证的收费标准。
办理首次申领居民身份证时，是否可以同时申领临时居民身份证？,可以同时申领临时居民身份证，临时居民身份证的办理时间为当场领取。,关于开通首次申领居民身份证申领临时居民身份证“跨省通办”“全省通办”服务的通知（粤公网发〔2023〕654号）,该通知明确了同时申领的相关要求。
办理首次申领居民身份证时，如果户籍地不在本地，如何办理？,可以通过跨省通办或全省通办服务，在非户籍地办理首次申领居民身份证。,关于开通首次申领居民身份证申领临时居民身份证“跨省通办”“全省通办”服务的通知（粤公网发〔2023〕654号）,该通知明确了跨省通办和全省通办的服务范围。
